251.0,222.0,262.0,244.0,260.0,240.0,256.0,237.0,194.0,254.0,230.0,278.0,228.0,366.0,228.0,224.0,283.0,305.0,256.0,240.0,
220.0,319.0,361.0,292.0,310.0,360.0,359.0,336.0,289.0,248.0,346.0,219.0,318.0,366.0,318.0,251.0,334.0,331.0,440.0,268.0,
197.0,291.0,272.0,199.0,296.0,262.0,220.0,341.0,158.0,200.0,328.0,282.0,311.0,314.0,270.0,300.0,339.0,328.0,344.0,307.0,
210.0,269.0,261.0,198.0,248.0,261.0,252.0,266.0,192.0,157.0,328.0,294.0,295.0,380.0,268.0,192.0,328.0,276.0,294.0,312.0,
235.0,240.0,285.0,358.0,165.0,338.0,303.0,220.0,274.0,270.0,241.0,309.0,332.0,343.0,389.0,296.0,332.0,383.0,336.0,238.0,
246.0,223.0,266.0,196.0,319.0,245.0,229.0,198.0,208.0,184.0,278.0,168.0,183.0,357.0,262.0,255.0,377.0,302.0,267.0,312.0,
192.0,311.0,151.0,267.0,290.0,283.0,190.0,356.0,180.0,296.0,355.0,224.0,288.0,255.0,287.0,272.0,271.0,269.0,296.0,208.0,
263.0,293.0,209.0,300.0,294.0,234.0,325.0,282.0,295.0,315.0,358.0,323.0,395.0,270.0,335.0,313.0,338.0,351.0,363.0,328.0,
224.0,330.0,388.0,106.0,253.0,310.0,248.0,203.0,189.0,320.0,352.0,328.0,264.0,359.0,338.0,292.0,394.0,371.0,318.0,333.0,
183.0,294.0,239.0,277.0,202.0,234.0,249.0,266.0,338.0,270.0,282.0,277.0,284.0,272.0,296.0,267.0,290.0,249.0,261.0,316.0,
174.0,215.0,128.0,209.0,154.0,258.0,212.0,210.0,198.0,184.0,241.0,160.0,160.0,184.0,190.0,188.0,145.0,128.0,168.0,170.0,
164.0,227.0,276.0,139.0,225.0,167.0,246.0,225.0,200.0,124.0,259.0,151.0,96.0,195.0,136.0,118.0,200.0,127.0,136.0,170.0,
270.0,266.0,216.0,250.0,144.0,280.0,216.0,294.0,205.0,259.0,173.0,209.0,232.0,106.0,226.0,168.0,143.0,222.0,271.0,156.0,
262.0,256.0,192.0,208.0,170.0,217.0,236.0,193.0,172.0,88.0,227.0,187.0,136.0,224.0,110.0,127.0,224.0,181.0,196.0,144.0,
139.0,229.0,140.0,160.0,245.0,185.0,172.0,228.0,111.0,72.0,201.0,128.0,116.0,162.0,143.0,96.0,172.0,152.0,134.0,148.0,
188.0,240.0,237.0,292.0,225.0,234.0,277.0,310.0,252.0,224.0,126.0,193.0,257.0,136.0,218.0,188.0,120.0,188.0,254.0,156.0,
200.0,208.0,230.0,251.0,200.0,245.0,287.0,160.0,218.0,218.0,169.0,203.0,218.0,193.0,206.0,128.0,188.0,218.0,136.0,166.0,
206.0,274.0,179.0,206.0,171.0,240.0,146.0,159.0,182.0,125.0,188.0,104.0,95.0,206.0,204.0,90.0,192.0,128.0,122.0,152.0,
214.0,305.0,176.0,207.0,216.0,243.0,212.0,236.0,221.0,202.0,239.0,161.0,72.0,140.0,170.0,168.0,156.0,150.0,164.0,153.0,
225.0,212.0,198.0,288.0,225.0,210.0,225.0,164.0,206.0,255.0,181.0,180.0,197.0,112.0,204.0,156.0,174.0,168.0,231.0,174.0,
